N,Device,Time_Seconds,Best_Energy,Merit_Factor,Best_Sequence
5,cpu,5.9015,2,6.25,10111
5,cuda,12.0367,2,6.25,10111
6,cpu,6.3885,7,2.5714,110010
6,cuda,12.8039,7,2.5714,111011
7,cpu,6.8682,3,8.1667,1110010
7,cuda,13.9156,3,8.1667,1110010
8,cpu,7.6323,8,4.0,01011000
8,cuda,14.9983,8,4.0,00001101
9,cpu,8.2756,12,3.375,111100101
9,cuda,16.0626,12,3.375,010011000
10,cpu,8.7932,13,3.8462,1010000110
10,cuda,17.1938,13,3.8462,1111001010
11,cpu,9.3209,5,12.1,11100010010
11,cuda,18.3082,5,12.1,10110111000
12,cpu,9.7399,10,7.2,101011001111
12,cuda,19.4923,10,7.2,011001010000
13,cpu,10.3292,6,14.0833,0101001100000
13,cuda,20.6768,14,6.0357,0011000000101
14,cpu,10.9005,19,5.1579,10101101111100
14,cuda,21.5354,19,5.1579,11111000101001
15,cpu,11.5225,15,7.5,111110011001010
15,cuda,22.7031,15,7.5,000001100110101
16,cpu,12.0435,24,5.3333,1001010111110011
16,cuda,23.8853,24,5.3333,1101110111100001
17,cpu,12.4817,32,4.5156,00101101000100011
17,cuda,25.0343,32,4.5156,01111000010001001
18,cpu,13.0179,25,6.48,010110100000110011
18,cuda,26.1204,25,6.48,010100001111011001
19,cpu,13.664,29,6.2241,0111001101000000101
19,cuda,27.1674,33,5.4697,1011010111011111000
20,cpu,14.3124,34,5.8824,00011111011101101011
20,cuda,28.3462,26,7.6923,00000101110100111001
21,cpu,14.7039,34,6.4853,011000110100010111111
21,cuda,29.2368,26,8.4808,100101010011000000011
22,cpu,15.0311,39,6.2051,1111101010110110011100
22,cuda,30.4988,39,6.2051,0000001110010101001101
23,cpu,15.655,47,5.6277,00100100101011111100011
23,cuda,31.5535,51,5.1863,10010101001100111111100
24,cpu,16.1243,48,6.0,101010010010011000111111
24,cuda,32.604,36,8.0,011001001010111111100011
25,cpu,16.3449,44,7.1023,0001100011111101010110110
25,cuda,33.3864,44,7.1023,1001110010110100010111111
26,cpu,16.7838,45,7.5111,00011100000001001101101010
26,cuda,34.5349,45,7.5111,01001001010100011000111111
27,cpu,17.3245,37,9.8514,000111100010001000100101101
27,cuda,35.7433,57,6.3947,101010010011011111110001110
28,cpu,17.842,62,6.3226,0000000110110010110001101010
28,cuda,36.8569,58,6.7586,1110011100000010101001001001
29,cpu,18.6411,70,6.0071,11000110000000110110010010101
29,cuda,38.4118,70,6.0071,01100100110001111111010110101
30,cpu,19.152,59,7.6271,101011010111000111111101100100
30,cuda,39.0802,59,7.6271,111100000010010010101000110001
31,cpu,19.7324,67,7.1716,0101101010011011001110001111111
31,cuda,40.1529,67,7.1716,0000111111001110011011011010101
32,cpu,20.5055,64,8.0,01010100000111111011011001110011
32,cuda,41.2866,76,6.7368,00001111110110110101011100111001
33,cpu,20.8426,84,6.4821,011001110011111000000100100101010
33,cuda,42.2383,84,6.4821,101001010001010000011111011001100
34,cpu,21.738,89,6.4944,0010010100110111111010001111001110
34,cuda,43.3759,89,6.4944,0000111000100001001010111011001001
35,cpu,22.1253,97,6.3144,11111101110010011100001101101000101
35,cuda,44.6031,97,6.3144,01100100110001110101001010000000111
36,cpu,21.42,98,6.6122,110011011100001110101000000100101101
36,cuda,45.1745,90,7.2,101101001000101011100110011111001111
37,cpu,21.989,106,6.4575,1010101000010000001111011000110110110
37,cuda,45.9546,102,6.7108,1111100000110010011000110010100101010
38,cpu,22.5425,103,7.0097,10111101111011101011001001000111110001
38,cuda,47.0938,103,7.0097,01101010101101101110011110011111100000
39,cpu,23.1089,123,6.1829,101001011011101000111111011101110001100
39,cuda,48.0172,123,6.1829,110111100110001001001101010100001111000
40,cpu,23.2245,120,6.6667,0101010110011001101101001000000001111000
40,cuda,49.0795,120,6.6667,0101101011101011100111101100110000001111
41,cpu,24.6729,132,6.3674,10101010000001111011011110110110011110011
41,cuda,53.559,140,6.0036,11100111001010010010100010010001011100000
42,cpu,24.8484,149,5.9195,001100110000101001000010100010110111110000
42,cuda,54.5469,133,6.6316,100100110110000000100101001010111000111000
43,cpu,25.5175,157,5.8885,0000011001111100110111100100111101010110101
43,cuda,56.3569,149,6.2047,0001111100010000000100011001011001101011010
44,cpu,25.7987,134,7.2239,11010101010011001001000010000110001111110000
44,cuda,56.4278,154,6.2857,11000110001110100010110010011111110110101001
45,cpu,26.3543,170,5.9559,011111111011100010111100101101011000101100110
45,cuda,57.3275,154,6.5747,101001010110110010111010001110011000000000011
46,cpu,26.9217,163,6.4908,0000011100000011001111011101001100101011011010
46,cuda,59.009,171,6.1871,0100100100010010000101010111100000111001100011
47,cpu,27.9172,171,6.4591,01101111011011001101111001110000101010100001111
47,cuda,59.59,171,6.4591,01010101100110011001101001001011000111100000000
48,cpu,27.9352,192,6.0,100100101101100010011111111001110000111001010101
48,cuda,60.7198,184,6.2609,001010010010000110001010000111011001111100100010
49,cpu,28.5961,200,6.0025,0111110100000101011011011111101011110001110011001
49,cuda,62.7498,196,6.125,1010111111010111000100110001111101100001110110100
50,cpu,29.6419,209,5.9809,00001000001001101001110010110101011100100011111100
50,cuda,63.6879,209,5.9809,10001100110011010011101001010000010000010111110000
51,cpu,28.0702,217,5.9931,110100100001001111101100101010100001000110000011100
51,cuda,58.6625,201,6.4701,111111100111001110000011110101011001010110110010010
52,cpu,28.8611,198,6.8283,0000111000000101010100001001011110110110010000110011
52,cuda,59.3866,234,5.7778,0011001010010100011001000101000101100011111111000001
53,cpu,29.6196,218,6.4427,00001111011100010101011010110110000100100000110010011
53,cuda,60.3421,226,6.2146,10110110110111101101010110001000111011100000111000111
54,cpu,30.0165,207,7.0435,110001101110001110100101010110010011010100100111111111
54,cuda,61.4434,247,5.9028,101010100000010011111001001110110001101101001111001111
55,cpu,30.5834,247,6.1235,0010001000010001101111010101001101111010010011110001111
55,cuda,62.374,231,6.5476,1010000111101010000111010111110111101100011001001101100
56,cpu,31.0424,260,6.0308,11000000000110011000011100010111010110011010100101001001
56,cuda,63.2222,248,6.3226,11111110001111111001110000101001011010111010110010011001
57,cpu,31.7523,252,6.4464,111111111100001101001110100100101100010101011001100111010
57,cuda,64.2416,268,6.0616,100110011011011111101111001101001011010101010001111110000
58,cpu,32.1252,277,6.0722,1011111111110101010001111100100101110010110001100110001101
58,cuda,65.1607,301,5.588,1100101110011100000100110111110010101100001001100000001010
59,cpu,33.0634,293,5.9403,00111100100101101100011111110111101011110101000100010111011
59,cuda,66.37,301,5.7824,01111000001101000010010111001100000100010100110010101110111
60,cpu,33.6951,282,6.383,011100101110011101001010010010010001010001000100001111110000
60,cuda,67.5678,314,5.7325,111000111110000000000111001100011001001100100100101001010101
